last_update_date,county_raw,cases_cumulative
2026-07-20,Adams,1
2026-07-20,Allen,51
2026-07-20,Bartholomew,1
2026-07-20,Blackford,1
2026-07-20,Brown,1
2026-07-20,Cass,1
2026-07-20,Clark,28
2026-07-20,Clinton,1
2026-07-20,DeKalb,13
2026-07-20,Dearborn,1
2026-07-20,Delaware,4
2026-07-20,Dubois,2
2026-07-20,Elkhart,29
2026-07-20,Floyd,29
2026-07-20,Fountain,1
2026-07-20,Hamilton,8
2026-07-20,Hancock,11
2026-07-20,Harrison,23
2026-07-20,Hendricks,7
2026-07-20,Henry,2
2026-07-20,Howard,2
2026-07-20,Huntington,2
2026-07-20,Jackson,4
2026-07-20,Jefferson,7
2026-07-20,Jennings,2
2026-07-20,Johnson,2
2026-07-20,Kosciusko,15
2026-07-20,LaGrange,4
2026-07-20,Lake,5
2026-07-20,Lawrence,1
2026-07-20,Madison,3
2026-07-20,Marion,48
2026-07-20,Marshall,7
2026-07-20,Monroe,6
2026-07-20,Morgan,5
2026-07-20,Noble,23
2026-07-20,Orange,2
2026-07-20,Owen,1
2026-07-20,Perry,1
2026-07-20,Porter,2
2026-07-20,Ripley,2
2026-07-20,Rush,2
2026-07-20,Scott,3
2026-07-20,Shelby,1
2026-07-20,St. Joseph,22
2026-07-20,Steuben,23
2026-07-20,Tippecanoe,3
2026-07-20,Vanderburgh,2
2026-07-20,Vigo,1
2026-07-20,Washington,3
2026-07-20,Wayne,1
2026-07-20,Wells,1
2026-07-20,White,1
2026-07-20,Whitley,6
