last_update_date,county_raw,cases_cumulative
2026-07-09,Allegan,2
2026-07-09,Barry,1
2026-07-09,Benzie,1
2026-07-09,Calhoun,2
2026-07-09,Cass,2
2026-07-09,Charlevoix,2
2026-07-09,Clinton,12
2026-07-09,Detroit City,12
2026-07-09,Eaton,12
2026-07-09,Emmet,1
2026-07-09,Genesee,35
2026-07-09,Grand Traverse,1
2026-07-09,Gratiot,17
2026-07-09,Hillsdale,6
2026-07-09,Houghton,1
2026-07-09,Huron,26
2026-07-09,Ingham,55
2026-07-09,Ionia,14
2026-07-09,Isabella,2
2026-07-09,Jackson,56
2026-07-09,Kalamazoo,6
2026-07-09,Kent,9
2026-07-09,Lapeer,4
2026-07-09,Leelanau,1
2026-07-09,Lenawee,105
2026-07-09,Livingston,40
2026-07-09,Macomb,15
2026-07-09,Manistee,1
2026-07-09,Mason,2
2026-07-09,Midland,2
2026-07-09,Monroe,215
2026-07-09,Montcalm,6
2026-07-09,Muskegon,25
2026-07-09,Oakland,88
2026-07-09,Otsego,1
2026-07-09,Ottawa,15
2026-07-09,Saginaw,13
2026-07-09,Sanilac,21
2026-07-09,Shiawassee,82
2026-07-09,St Joseph,3
2026-07-09,St. Clair,4
2026-07-09,Tuscola,12
2026-07-09,Washtenaw,159
2026-07-09,Wayne,160
2026-07-13,Allegan,9
2026-07-13,Alpena,1
2026-07-13,Barry,2
2026-07-13,Benzie,2
2026-07-13,Berrien,4
2026-07-13,Branch,4
2026-07-13,Calhoun,32
2026-07-13,Cass,4
2026-07-13,Charlevoix,4
2026-07-13,Clare,1
2026-07-13,Clinton,71
2026-07-13,Crawford,7
2026-07-13,Delta,1
2026-07-13,Detroit City,24
2026-07-13,Eaton,59
2026-07-13,Emmet,1
2026-07-13,Genesee,85
2026-07-13,Grand Traverse,2
2026-07-13,Gratiot,22
2026-07-13,Hillsdale,15
2026-07-13,Houghton,1
2026-07-13,Huron,35
2026-07-13,Ingham,219
2026-07-13,Ionia,54
2026-07-13,Isabella,3
2026-07-13,Jackson,82
2026-07-13,Kalamazoo,28
2026-07-13,Kent,20
2026-07-13,Lapeer,10
2026-07-13,Leelanau,1
2026-07-13,Lenawee,161
2026-07-13,Livingston,105
2026-07-13,Macomb,42
2026-07-13,Manistee,1
2026-07-13,Mason,3
2026-07-13,Mecosta,1
2026-07-13,Midland,3
2026-07-13,Monroe,258
2026-07-13,Montcalm,19
2026-07-13,Muskegon,63
2026-07-13,Newaygo,4
2026-07-13,Oakland,192
2026-07-13,Oceana,1
2026-07-13,Osceola,1
2026-07-13,Otsego,1
2026-07-13,Ottawa,38
2026-07-13,Roscommon,3
2026-07-13,Saginaw,25
2026-07-13,Sanilac,29
2026-07-13,Shiawassee,208
2026-07-13,St Joseph,6
2026-07-13,St. Clair,10
2026-07-13,Tuscola,12
2026-07-13,Van Buren,12
2026-07-13,Washtenaw,290
2026-07-13,Wayne,339
2026-07-16,Alcona,1
2026-07-16,Allegan,22
2026-07-16,Alpena,4
2026-07-16,Arenac,1
2026-07-16,Barry,4
2026-07-16,Bay,1
2026-07-16,Benzie,2
2026-07-16,Berrien,9
2026-07-16,Branch,5
2026-07-16,Calhoun,87
2026-07-16,Cass,7
2026-07-16,Charlevoix,4
2026-07-16,Cheboygan,1
2026-07-16,Clare,3
2026-07-16,Clinton,112
2026-07-16,Crawford,17
2026-07-16,Delta,1
2026-07-16,Detroit City,51
2026-07-16,Eaton,130
2026-07-16,Emmet,1
2026-07-16,Genesee,169
2026-07-16,Grand Traverse,4
2026-07-16,Gratiot,31
2026-07-16,Hillsdale,29
2026-07-16,Houghton,3
2026-07-16,Huron,36
2026-07-16,Ingham,393
2026-07-16,Ionia,89
2026-07-16,Iosco,3
2026-07-16,Isabella,4
2026-07-16,Jackson,112
2026-07-16,Kalamazoo,63
2026-07-16,Kalkaska,1
2026-07-16,Kent,39
2026-07-16,Lapeer,13
2026-07-16,Leelanau,1
2026-07-16,Lenawee,205
2026-07-16,Livingston,180
2026-07-16,Macomb,75
2026-07-16,Manistee,1
2026-07-16,Mason,3
2026-07-16,Mecosta,2
2026-07-16,Midland,5
2026-07-16,Monroe,286
2026-07-16,Montcalm,25
2026-07-16,Muskegon,111
2026-07-16,Newaygo,7
2026-07-16,Oakland,396
2026-07-16,Oceana,2
2026-07-16,Ogemaw,1
2026-07-16,Osceola,3
2026-07-16,Oscoda,1
2026-07-16,Otsego,1
2026-07-16,Ottawa,55
2026-07-16,Presque Isle,3
2026-07-16,Roscommon,6
2026-07-16,Saginaw,38
2026-07-16,Sanilac,34
2026-07-16,Shiawassee,278
2026-07-16,St Joseph,10
2026-07-16,St. Clair,14
2026-07-16,Tuscola,14
2026-07-16,Van Buren,24
2026-07-16,Washtenaw,474
2026-07-16,Wayne,582
2026-07-23,Alcona,2
2026-07-23,Allegan,55
2026-07-23,Alpena,8
2026-07-23,Antrim,2
2026-07-23,Arenac,3
2026-07-23,Barry,12
2026-07-23,Bay,3
2026-07-23,Benzie,3
2026-07-23,Berrien,13
2026-07-23,Branch,10
2026-07-23,Calhoun,190
2026-07-23,Cass,10
2026-07-23,Charlevoix,5
2026-07-23,Cheboygan,3
2026-07-23,Clare,4
2026-07-23,Clinton,205
2026-07-23,Crawford,44
2026-07-23,Delta,1
2026-07-23,Detroit City,165
2026-07-23,Eaton,315
2026-07-23,Emmet,1
2026-07-23,Genesee,366
2026-07-23,Gladwin,1
2026-07-23,Grand Traverse,9
2026-07-23,Gratiot,40
2026-07-23,Hillsdale,52
2026-07-23,Houghton,3
2026-07-23,Huron,43
2026-07-23,Ingham,698
2026-07-23,Ionia,137
2026-07-23,Iosco,6
2026-07-23,Isabella,11
2026-07-23,Jackson,231
2026-07-23,Kalamazoo,153
2026-07-23,Kalkaska,2
2026-07-23,Kent,98
2026-07-23,Lake,4
2026-07-23,Lapeer,20
2026-07-23,Leelanau,1
2026-07-23,Lenawee,328
2026-07-23,Livingston,267
2026-07-23,Macomb,174
2026-07-23,Manistee,2
2026-07-23,Marquette,2
2026-07-23,Mason,4
2026-07-23,Mecosta,8
2026-07-23,Midland,6
2026-07-23,Monroe,347
2026-07-23,Montcalm,33
2026-07-23,Montmorency,1
2026-07-23,Muskegon,245
2026-07-23,Newaygo,17
2026-07-23,Oakland,710
2026-07-23,Oceana,16
2026-07-23,Ogemaw,1
2026-07-23,Osceola,12
2026-07-23,Oscoda,1
2026-07-23,Otsego,3
2026-07-23,Ottawa,93
2026-07-23,Presque Isle,4
2026-07-23,Roscommon,8
2026-07-23,Saginaw,63
2026-07-23,Sanilac,36
2026-07-23,Shiawassee,401
2026-07-23,St Joseph,18
2026-07-23,St. Clair,22
2026-07-23,Tuscola,19
2026-07-23,Van Buren,67
2026-07-23,Washtenaw,773
2026-07-23,Wayne,1036
2026-07-23,Wexford,2
