Month abbr-value,Month abbr-alias,Complementary Suppression Description-alias,Demographic Level-value,Demographic Level-alias,ATTR(Count Masked Sum_Count Label)-alias,ATTR(Month name)-alias,ATTR(Population_Label)-alias,ATTR(Demographic Level)-alias,ATTR(Disease Name)-alias,ATTR(Mmwr Year)-alias,ATTR(Report Period End)-alias,ATTR(Report Period Start)-alias,AGG(Plural_was vs were)-alias,AGG(Rate per 100K Label)-alias,AGG(Parameter_Count-Rate_Measure Label)-alias,AGG(Plural_case vs cases)-alias,AGG(Rate per 100K_Count Masked)-alias
Dec,Dec,Labels with two asterisks (**) indicate the cell is masked to prevent back calculation of a cell with fewer than six cases.,Yamhill County,Yamhill County,<6,December,"109,684",Yamhill County,Cyclosporiasis,2024,12/28/2024,12/1/2024,were,"the rate per 100,000 is not available",<6,cases,%null%
Dec,Dec,Labels with two asterisks (**) indicate the cell is masked to prevent back calculation of a cell with fewer than six cases.,Wheeler County,Wheeler County,<6,December,"1,481",Wheeler County,Cyclosporiasis,2024,12/28/2024,12/1/2024,were,"the rate per 100,000 is not available",<6,cases,%null%
Dec,Dec,Labels with two asterisks (**) indicate the cell is masked to prevent back calculation of a cell with fewer than six cases.,Washington County,Washington County,<6,December,"611,391",Washington County,Cyclosporiasis,2024,12/28/2024,12/1/2024,were,"the rate per 100,000 is not available",<6,cases,%null%
Dec,Dec,Labels with two asterisks (**) indicate the cell is masked to prevent back calculation of a cell with fewer than six cases.,Wasco County,Wasco County,<6,December,"26,444",Wasco County,Cyclosporiasis,2024,12/28/2024,12/1/2024,were,"the rate per 100,000 is not available",<6,cases,%null%
Dec,Dec,Labels with two asterisks (**) indicate the cell is masked to prevent back calculation of a cell with fewer than six cases.,Wallowa County,Wallowa County,<6,December,"7,498",Wallowa County,Cyclosporiasis,2024,12/28/2024,12/1/2024,were,"the rate per 100,000 is not available",<6,cases,%null%
Dec,Dec,Labels with two asterisks (**) indicate the cell is masked to prevent back calculation of a cell with fewer than six cases.,Unknown County,Unknown County,<6,December,Unknown,Unknown County,Cyclosporiasis,2024,12/28/2024,12/1/2024,were,"the rate per 100,000 is not available",<6,cases,%null%
Dec,Dec,Labels with two asterisks (**) indicate the cell is masked to prevent back calculation of a cell with fewer than six cases.,Union County,Union County,<6,December,"26,054",Union County,Cyclosporiasis,2024,12/28/2024,12/1/2024,were,"the rate per 100,000 is not available",<6,cases,%null%
Dec,Dec,Labels with two asterisks (**) indicate the cell is masked to prevent back calculation of a cell with fewer than six cases.,Umatilla County,Umatilla County,<6,December,"81,032",Umatilla County,Cyclosporiasis,2024,12/28/2024,12/1/2024,were,"the rate per 100,000 is not available",<6,cases,%null%
Dec,Dec,Labels with two asterisks (**) indicate the cell is masked to prevent back calculation of a cell with fewer than six cases.,Tillamook County,Tillamook County,<6,December,"27,622",Tillamook County,Cyclosporiasis,2024,12/28/2024,12/1/2024,were,"the rate per 100,000 is not available",<6,cases,%null%
Dec,Dec,Labels with two asterisks (**) indicate the cell is masked to prevent back calculation of a cell with fewer than six cases.,Sherman County,Sherman County,<6,December,"1,928",Sherman County,Cyclosporiasis,2024,12/28/2024,12/1/2024,were,"the rate per 100,000 is not available",<6,cases,%null%
Dec,Dec,Labels with two asterisks (**) indicate the cell is masked to prevent back calculation of a cell with fewer than six cases.,Polk County,Polk County,<6,December,"88,799",Polk County,Cyclosporiasis,2024,12/28/2024,12/1/2024,were,"the rate per 100,000 is not available",<6,cases,%null%
