last_update_date,county_raw,cases_cumulative
2026-07-17,Boone,1
2026-07-17,Braxton,2
2026-07-17,Brooke,7
2026-07-17,Cabell,31
2026-07-17,Fayette,2
2026-07-17,Hancock,15
2026-07-17,Harrison,2
2026-07-17,Jackson,2
2026-07-17,Kanawha,20
2026-07-17,Lewis,1
2026-07-17,Lincoln,2
2026-07-17,Logan,1
2026-07-17,Marion,3
2026-07-17,Mason,2
2026-07-17,Monongalia,6
2026-07-17,Morgan,2
2026-07-17,Ohio,4
2026-07-17,Pendleton,1
2026-07-17,Preston,3
2026-07-17,Putnam,13
2026-07-17,Raleigh,1
2026-07-17,Ritchie,1
2026-07-17,Roane,1
2026-07-17,Wayne,9
2026-07-17,Wirt,1
2026-07-17,Wood,6
2026-07-21,Boone,3
2026-07-21,Braxton,2
2026-07-21,Brooke,7
2026-07-21,Cabell,42
2026-07-21,Fayette,2
2026-07-21,Hancock,20
2026-07-21,Harrison,3
2026-07-21,Jackson,2
2026-07-21,Kanawha,32
2026-07-21,Lewis,1
2026-07-21,Lincoln,2
2026-07-21,Logan,2
2026-07-21,Marion,6
2026-07-21,Mason,2
2026-07-21,Mineral,1
2026-07-21,Monongalia,9
2026-07-21,Morgan,2
2026-07-21,Ohio,4
2026-07-21,Pendleton,1
2026-07-21,Preston,3
2026-07-21,Putnam,20
2026-07-21,Raleigh,2
2026-07-21,Ritchie,2
2026-07-21,Roane,2
2026-07-21,Wayne,14
2026-07-21,Wirt,1
2026-07-21,Wood,8
2026-07-24,Berkeley,1
2026-07-24,Boone,3
2026-07-24,Braxton,2
2026-07-24,Brooke,9
2026-07-24,Cabell,43
2026-07-24,Fayette,3
2026-07-24,Hancock,23
2026-07-24,Harrison,5
2026-07-24,Jackson,2
2026-07-24,Kanawha,37
2026-07-24,Lewis,1
2026-07-24,Lincoln,2
2026-07-24,Logan,2
2026-07-24,Marion,7
2026-07-24,Marshall,1
2026-07-24,Mason,6
2026-07-24,Mineral,1
2026-07-24,Monongalia,10
2026-07-24,Morgan,2
2026-07-24,Ohio,5
2026-07-24,Pendleton,1
2026-07-24,Preston,3
2026-07-24,Putnam,22
2026-07-24,Raleigh,2
2026-07-24,Ritchie,2
2026-07-24,Roane,3
2026-07-24,Taylor,1
2026-07-24,Tucker,2
2026-07-24,Wayne,14
2026-07-24,Wirt,1
2026-07-24,Wood,10
2026-07-28,Barbour,2
2026-07-28,Berkeley,1
2026-07-28,Boone,3
2026-07-28,Braxton,2
2026-07-28,Brooke,9
2026-07-28,Cabell,47
2026-07-28,Hancock,23
2026-07-28,Harrison,6
2026-07-28,Jackson,3
2026-07-28,Kanawha,38
2026-07-28,Lewis,1
2026-07-28,Lincoln,2
2026-07-28,Logan,3
2026-07-28,Marion,8
2026-07-28,Marshall,1
2026-07-28,Mason,6
2026-07-28,Mineral,1
2026-07-28,Monongalia,12
2026-07-28,Morgan,2
2026-07-28,Ohio,6
2026-07-28,Pendleton,1
2026-07-28,Preston,3
2026-07-28,Putnam,24
2026-07-28,Raleigh,2
2026-07-28,Ritchie,2
2026-07-28,Roane,3
2026-07-28,Taylor,1
2026-07-28,Tucker,2
2026-07-28,Wayne,14
2026-07-28,Wetzel,1
2026-07-28,Wirt,1
2026-07-28,Wood,11
2026-07-31,Barbour,2
2026-07-31,Berkeley,1
2026-07-31,Boone,3
2026-07-31,Braxton,2
2026-07-31,Brooke,10
2026-07-31,Cabell,52
2026-07-31,Fayette,5
2026-07-31,Hancock,24
2026-07-31,Harrison,7
2026-07-31,Jackson,3
2026-07-31,Kanawha,42
2026-07-31,Lewis,1
2026-07-31,Lincoln,2
2026-07-31,Logan,3
2026-07-31,Marion,9
2026-07-31,Marshall,1
2026-07-31,Mason,6
2026-07-31,Mineral,1
2026-07-31,Monongalia,13
2026-07-31,Morgan,2
2026-07-31,Ohio,7
2026-07-31,Pendleton,1
2026-07-31,Preston,3
2026-07-31,Putnam,27
2026-07-31,Raleigh,2
2026-07-31,Ritchie,2
2026-07-31,Roane,3
2026-07-31,Taylor,1
2026-07-31,Tucker,2
2026-07-31,Upshur,1
2026-07-31,Wayne,17
2026-07-31,Wetzel,1
2026-07-31,Wirt,1
2026-07-31,Wood,11
2026-08-04,Barbour,2
2026-08-04,Berkeley,1
2026-08-04,Boone,3
2026-08-04,Braxton,2
2026-08-04,Brooke,10
2026-08-04,Cabell,53
2026-08-04,Fayette,5
2026-08-04,Hancock,24
2026-08-04,Harrison,7
2026-08-04,Jackson,3
2026-08-04,Kanawha,48
2026-08-04,Lewis,1
2026-08-04,Lincoln,2
2026-08-04,Logan,3
2026-08-04,Marion,9
2026-08-04,Marshall,2
2026-08-04,Mason,6
2026-08-04,Mineral,1
2026-08-04,Mingo,1
2026-08-04,Monongalia,13
2026-08-04,Morgan,2
2026-08-04,Ohio,7
2026-08-04,Pendleton,1
2026-08-04,Preston,3
2026-08-04,Putnam,27
2026-08-04,Raleigh,3
2026-08-04,Ritchie,2
2026-08-04,Roane,3
2026-08-04,Taylor,1
2026-08-04,Tucker,2
2026-08-04,Upshur,1
2026-08-04,Wayne,19
2026-08-04,Wetzel,1
2026-08-04,Wirt,1
2026-08-04,Wood,11
2026-08-07,Barbour,2
2026-08-07,Berkeley,1
2026-08-07,Boone,3
2026-08-07,Braxton,2
2026-08-07,Brooke,10
2026-08-07,Cabell,53
2026-08-07,Clay,1
2026-08-07,Fayette,6
2026-08-07,Hancock,24
2026-08-07,Harrison,7
2026-08-07,Jackson,3
2026-08-07,Kanawha,51
2026-08-07,Lewis,1
2026-08-07,Lincoln,2
2026-08-07,Logan,3
2026-08-07,Marion,10
2026-08-07,Marshall,2
2026-08-07,Mason,6
2026-08-07,Mineral,1
2026-08-07,Mingo,1
2026-08-07,Monongalia,13
2026-08-07,Morgan,2
2026-08-07,Ohio,7
2026-08-07,Pendleton,1
2026-08-07,Preston,3
2026-08-07,Putnam,29
2026-08-07,Raleigh,3
2026-08-07,Randolph,1
2026-08-07,Ritchie,2
2026-08-07,Roane,3
2026-08-07,Taylor,1
2026-08-07,Tucker,2
2026-08-07,Upshur,1
2026-08-07,Wayne,21
2026-08-07,Wetzel,1
2026-08-07,Wirt,1
2026-08-07,Wood,11
2026-08-11,Barbour,2
2026-08-11,Berkeley,1
2026-08-11,Boone,3
2026-08-11,Braxton,2
2026-08-11,Brooke,10
2026-08-11,Cabell,52
2026-08-11,Fayette,6
2026-08-11,Hancock,24
2026-08-11,Harrison,7
2026-08-11,Jackson,3
2026-08-11,Kanawha,54
2026-08-11,Lewis,1
2026-08-11,Lincoln,2
2026-08-11,Logan,3
2026-08-11,Marion,9
2026-08-11,Marshall,2
2026-08-11,Mason,7
2026-08-11,Mineral,1
2026-08-11,Mingo,1
2026-08-11,Monongalia,13
2026-08-11,Morgan,2
2026-08-11,Ohio,7
2026-08-11,Pendleton,1
2026-08-11,Preston,3
2026-08-11,Putnam,31
2026-08-11,Raleigh,3
2026-08-11,Randolph,1
2026-08-11,Ritchie,3
2026-08-11,Roane,3
2026-08-11,Taylor,1
2026-08-11,Tucker,2
2026-08-11,Upshur,1
2026-08-11,Wayne,22
2026-08-11,Wetzel,1
2026-08-11,Wirt,1
2026-08-11,Wood,11
2026-08-14,Barbour,3
2026-08-14,Berkeley,1
2026-08-14,Boone,3
2026-08-14,Braxton,1
2026-08-14,Brooke,10
2026-08-14,Cabell,53
2026-08-14,Fayette,6
2026-08-14,Hancock,24
2026-08-14,Harrison,7
2026-08-14,Jackson,3
2026-08-14,Kanawha,57
2026-08-14,Lewis,1
2026-08-14,Lincoln,2
2026-08-14,Logan,3
2026-08-14,Marion,10
2026-08-14,Marshall,2
2026-08-14,Mason,8
2026-08-14,Mineral,1
2026-08-14,Mingo,1
2026-08-14,Monongalia,13
2026-08-14,Morgan,2
2026-08-14,Ohio,8
2026-08-14,Pendleton,1
2026-08-14,Preston,3
2026-08-14,Putnam,31
2026-08-14,Raleigh,3
2026-08-14,Randolph,1
2026-08-14,Ritchie,3
2026-08-14,Roane,3
2026-08-14,Taylor,1
2026-08-14,Tucker,2
2026-08-14,Upshur,1
2026-08-14,Wayne,22
2026-08-14,Wetzel,1
2026-08-14,Wirt,1
2026-08-14,Wood,12
2026-08-21,Barbour,3
2026-08-21,Berkeley,1
2026-08-21,Boone,3
2026-08-21,Braxton,1
2026-08-21,Brooke,10
2026-08-21,Cabell,54
2026-08-21,Fayette,6
2026-08-21,Hancock,25
2026-08-21,Harrison,7
2026-08-21,Jackson,3
2026-08-21,Kanawha,61
2026-08-21,Lewis,1
2026-08-21,Lincoln,2
2026-08-21,Logan,3
2026-08-21,Marion,10
2026-08-21,Marshall,2
2026-08-21,Mason,8
2026-08-21,Mineral,1
2026-08-21,Mingo,1
2026-08-21,Monongalia,14
2026-08-21,Morgan,2
2026-08-21,Ohio,8
2026-08-21,Pendleton,1
2026-08-21,Preston,4
2026-08-21,Putnam,31
2026-08-21,Raleigh,3
2026-08-21,Randolph,1
2026-08-21,Ritchie,3
2026-08-21,Roane,3
2026-08-21,Taylor,1
2026-08-21,Tucker,2
2026-08-21,Upshur,1
2026-08-21,Wayne,23
2026-08-21,Wetzel,1
2026-08-21,Wirt,1
2026-08-21,Wood,12
2026-08-28,Barbour,3
2026-08-28,Berkeley,1
2026-08-28,Boone,3
2026-08-28,Braxton,1
2026-08-28,Brooke,10
2026-08-28,Cabell,53
2026-08-28,Fayette,6
2026-08-28,Hancock,25
2026-08-28,Harrison,7
2026-08-28,Jackson,3
2026-08-28,Kanawha,61
2026-08-28,Lewis,2
2026-08-28,Lincoln,2
2026-08-28,Logan,3
2026-08-28,Marion,10
2026-08-28,Marshall,2
2026-08-28,Mason,8
2026-08-28,Mineral,1
2026-08-28,Mingo,1
2026-08-28,Monongalia,14
2026-08-28,Morgan,2
2026-08-28,Ohio,8
2026-08-28,Pendleton,1
2026-08-28,Pocahontas,1
2026-08-28,Preston,4
2026-08-28,Putnam,31
2026-08-28,Raleigh,3
2026-08-28,Randolph,1
2026-08-28,Ritchie,3
2026-08-28,Roane,3
2026-08-28,Taylor,1
2026-08-28,Tucker,2
2026-08-28,Upshur,1
2026-08-28,Wayne,24
2026-08-28,Wetzel,1
2026-08-28,Wirt,1
2026-08-28,Wood,12
2026-09-04,Barbour,3
2026-09-04,Berkeley,1
2026-09-04,Boone,3
2026-09-04,Braxton,1
2026-09-04,Brooke,10
2026-09-04,Cabell,53
2026-09-04,Fayette,6
2026-09-04,Greenbrier,1
2026-09-04,Hancock,25
2026-09-04,Harrison,7
2026-09-04,Jackson,3
2026-09-04,Kanawha,60
2026-09-04,Lewis,2
2026-09-04,Lincoln,2
2026-09-04,Logan,3
2026-09-04,Marion,10
2026-09-04,Marshall,2
2026-09-04,Mason,8
2026-09-04,Mineral,1
2026-09-04,Mingo,1
2026-09-04,Monongalia,14
2026-09-04,Morgan,2
2026-09-04,Ohio,8
2026-09-04,Pendleton,1
2026-09-04,Pocahontas,1
2026-09-04,Preston,4
2026-09-04,Putnam,31
2026-09-04,Raleigh,3
2026-09-04,Randolph,1
2026-09-04,Ritchie,3
2026-09-04,Roane,3
2026-09-04,Taylor,1
2026-09-04,Tucker,2
2026-09-04,Upshur,1
2026-09-04,Wayne,24
2026-09-04,Wetzel,1
2026-09-04,Wirt,1
2026-09-04,Wood,12
